ticker_code,record_date
1377,5
1377,11
1419,5
1515,3
1515,9
1518,3
1518,9
1662,3
1662,9
1663,6
1663,12
167A,3
167A,9
1719,3
1719,9
1720,3
1720,9
1766,4
1821,3
1833,3
1833,9
1835,3
1835,9
1852,3
1852,9
1861,3
1884,3
1885,3
1890,3
1890,9
1898,3
1898,9
1926,3
1926,9
1941,3
1941,9
1949,3
1949,9
1961,3
1961,9
1973,9
1979,3
1979,9
1980,3
1980,9
2001,3
2001,9
2121,3
2121,9
2124,12
2146,3
2154,6
2154,12
2157,2
2157,8
2168,5
2170,3
2170,6
2170,9
2170,12
2220,3
2220,9
2270,3
2281,3
2281,9
2292,2
2292,8
2296,3
2296,9
2317,3
2317,9
2326,3
2326,9
2337,2
2353,7
2379,2
2379,8
2384,12
2492,6
2492,12
2590,1
2590,7
2602,3
2602,9
2659,2
2664,3
2678,5
2678,11
2681,3
2681,9
2685,2
2685,8
2695,10
2726,2
2730,3
2730,9
2733,3
2733,9
2749,3
2752,3
2760,3
2760,9
2767,3
2791,5
2815,3
2815,9
2910,4
2910,10
2918,2
2918,8
3002,3
3028,6
3028,12
3034,3
3034,9
3036,3
3036,9
3046,2
3046,8
3050,2
3050,8
3076,6
3076,12
3087,2
3087,8
3091,6
3091,12
3097,6
3097,12
3101,3
3110,3
3110,9
3148,5
3148,11
3167,3
3167,9
3186,11
3191,6
3191,12
3201,5
3201,11
3387,2
3387,8
3431,3
3431,9
3433,3
3433,9
3445,12
3465,3
3465,9
3498,8
3543,2
3543,8
3569,3
3569,9
3593,3
3593,6
3593,9
3593,12
3608,2
3612,2
3612,8
3632,2
3632,8
3636,3
3636,9
3661,3
3668,3
3673,12
3679,3
3762,3
3762,9
3778,3
3844,3
3844,6
3844,9
3844,12
3863,3
3865,3
3865,9
3880,3
3880,9
3962,3
3978,6
4008,3
4008,9
4023,3
4023,9
4028,3
4041,3
4041,9
4044,3
4044,9
4046,3
4046,9
4047,3
4047,9
4071,9
4078,3
4078,9
4095,3
4095,9
4109,3
4109,9
4180,12
4187,5
4187,11
4189,6
4189,12
4212,3
4212,9
4216,3
4216,9
4290,3
4290,9
4368,3
4368,9
4369,1
4373,3
4384,7
4432,2
4432,8
4471,3
4471,9
4481,6
4481,12
4534,3
4534,9
4547,3
4547,9
4549,3
4549,9
4552,3
4552,9
4553,3
4553,9
4559,3
4559,9
4569,3
4569,9
4617,3
4617,9
4626,3
4626,9
4633,6
4633,12
4634,6
4634,12
4680,3
4680,6
4680,9
4680,12
4686,3
4686,9
4694,3
4694,9
4722,6
4722,12
4776,12
4812,6
4812,12
4819,3
4825,5
4825,11
4849,3
4917,3
4917,9
4919,6
4919,12
4928,9
4958,3
4958,9
4971,6
4971,12
4974,3
4975,3
4975,9
4985,12
4996,4
4996,10
5032,10
5191,3
5191,9
5192,3
5192,9
5208,3
5208,9
5302,6
5302,12
5310,12
5331,3
5331,9
5351,3
5351,9
5352,3
5352,9
5384,3
5384,9
5408,3
5408,9
5410,3
5410,9
5423,3
5423,9
5440,3
5440,9
5445,3
5445,9
5451,3
5451,9
5461,3
5461,9
5480,3
5480,9
5481,3
5481,9
5482,3
5482,9
5563,6
5563,12
5702,3
5702,9
5703,3
5703,9
5726,3
5726,9
5727,3
5727,9
5741,3
5741,9
5805,3
5805,9
5851,6
5851,12
5857,3
5857,9
5911,3
5911,9
5930,3
5930,9
5943,6
5943,12
5949,3
5949,9
5970,3
5970,9
5975,3
5975,9
5988,3
5988,9
6013,3
6013,9
6036,6
6055,3
6080,9
6088,3
6101,3
6101,9
6103,3
6103,9
6104,3
6104,9
6118,3
6135,3
6135,9
6140,3
6140,9
6143,6
6143,12
6183,2
6183,8
6196,9
6197,3
6197,9
6200,9
6209,3
6209,9
6222,3
6222,9
6235,6
6235,12
6250,6
6250,12
6254,3
6254,9
6258,3
6266,12
6269,6
6269,12
6277,3
6277,9
6278,6
6278,12
6284,9
6287,3
6287,9
6289,2
6289,8
6315,3
6363,3
6363,9
6368,3
6368,9
6371,3
6371,9
6376,6
6376,12
6407,3
6407,9
6412,3
6412,9
6419,3
6419,9
6430,3
6430,9
6432,2
6454,3
6458,3
6458,9
6463,3
6463,9
6464,12
6474,11
6486,3
6486,9
6490,3
6498,6
6498,12
6507,3
6508,3
6516,3
6516,9
6523,3
6523,9
6544,3
6588,3
6588,9
6590,3
6622,3
6622,9
6630,4
6630,10
6651,3
6651,9
6652,3
6652,9
6703,3
6727,3
6737,3
6737,9
6750,3
6750,9
6755,3
6755,9
6768,3
6768,9
6787,3
6787,9
6800,3
6800,9
6804,3
6804,9
6807,3
6807,9
6810,3
6810,9
6814,2
6814,8
6859,3
6859,9
6866,6
6866,12
6871,12
6875,3
6908,3
6914,6
6914,12
6929,12
6941,3
6941,9
6947,3
6947,9
6961,3
6961,9
6966,1
6966,7
6995,3
6995,9
6996,3
6996,9
6999,3
6999,9
7003,3
