ticker_code,record_date,date_type
1377,5,end
1419,5,end
1419,11,end
1515,3,end
1518,3,end
1518,9,end
1662,3,end
1662,9,end
1663,3,end
1663,9,end
167A,3,end
1719,3,end
1720,3,end
2001,3,end
2001,9,end
2121,3,end
2121,9,end
2124,3,end
2124,9,end
2146,3,end
2146,9,end
2154,3,end
2154,9,end
2157,8,end
2168,5,end
2170,5,end
2220,9,end
2270,9,end
2281,9,end
2292,2,end
2292,8,end
2296,3,end
2317,3,end
2326,3,end
2337,2,end
2337,8,end
2353,1,end
2353,7,end
2379,2,end
2379,8,end
2384,2,end
2384,8,end
2492,2,end
2492,8,end
2590,1,mid
2590,7,mid
2602,3,end
2659,2,end
2664,3,mid
2678,5,mid
2678,11,mid
2681,5,end
2681,11,end
2685,2,end
2695,4,end
2726,2,end
2730,3,end
2733,3,end
2733,9,end
2749,3,end
2749,9,end
2752,6,end
2752,12,end
2760,6,end
2760,12,end
2767,6,end
2767,12,end
2791,5,end
2815,3,end
2815,9,end
2910,4,end
2910,10,end
2918,4,end
2918,10,end
2931,12,end
2980,12,end
3002,3,end
3002,9,end
3028,6,end
3028,12,end
3034,3,end
3036,3,end
3046,8,end
3050,2,end
3076,2,end
3087,2,end
3091,6,end
3091,12,end
3097,6,end
3097,12,end
3101,6,end
3101,12,end
3110,6,end
3110,12,end
3148,5,end
3167,3,end
3167,9,end
3182,9,end
3186,9,end
3191,6,mid
3201,5,end
3387,2,end
3387,8,end
3431,2,end
3431,8,end
3433,2,end
3433,8,end
3445,2,end
3445,8,end
3465,9,end
3498,8,end
3543,2,end
3543,8,end
3569,3,end
3569,9,end
3593,9,end
3608,2,end
3608,8,end
3612,2,end
3612,8,end
3632,2,end
3632,8,end
3636,2,end
3636,8,end
3660,6,end
3661,6,end
3668,6,end
3673,6,end
3679,3,end
3679,9,end
3738,3,end
3738,9,end
3762,9,end
3778,3,end
3778,9,end
3844,3,end
3844,9,end
3863,3,end
3865,3,end
3880,3,end
3962,3,end
3978,3,end
4008,3,end
4008,9,end
4023,3,end
4023,9,end
4028,3,end
4028,9,end
4041,3,end
4041,9,end
4044,3,end
4044,9,end
4046,3,end
4046,9,end
4047,3,end
4047,9,end
4071,3,end
4071,9,end
4078,3,end
4078,9,end
4095,3,end
4095,9,end
4109,3,end
4109,9,end
4180,3,end
4180,9,end
4187,3,end
4187,9,end
4189,3,end
4189,9,end
4212,3,end
4212,9,end
4216,3,end
4216,9,end
4290,3,end
4290,9,end
4368,3,end
4368,9,end
4369,3,end
4369,9,end
4373,3,end
4373,9,end
4384,3,end
4384,9,end
4432,3,end
4432,9,end
4443,3,end
4443,9,end
4471,3,end
4471,9,end
4480,3,end
4480,9,end
4481,3,end
4481,9,end
4506,3,end
4506,9,end
4534,3,end
4534,9,end
4547,3,end
4547,9,end
4549,3,end
4549,9,end
4552,3,end
4552,9,end
4553,3,end
4553,9,end
4559,3,end
4559,9,end
4565,3,end
4565,9,end
4569,3,end
4569,9,end
4617,3,end
4617,9,end
4626,3,end
4626,9,end
4633,12,end
4634,6,end
4680,3,end
4680,6,end
4680,9,end
4680,12,end
4686,3,end
4686,6,end
4686,9,end
4686,12,end
4694,3,end
4722,3,end
4776,3,end
4812,3,end
4819,3,end
4825,5,end
4825,11,end
4849,5,end
4849,11,end
4917,3,end
4919,12,end
4928,12,end
4958,9,end
4971,12,end
4974,12,end
4975,12,end
4985,6,end
4985,12,end
4996,6,end
4996,12,end
5032,6,end
